Test Trajectory,Test Trajectory Timestep,Learner Trajectory,Learner Trajectory Timestep
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80,10,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80,10
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80,13
390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_21_84_80,13,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80,13
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,10,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,10
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,11,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,11
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,12,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,12
395_7_340_27_72_409_365_362_358_380_377_42_47_355_20_23_73_21_84_80,12,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,12
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,12,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,12
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,13,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,13
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,13,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,13
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,13,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,13
109_108_105_112_114_116_278_275_274_308_386_397_385_90_88,11,109_108_106_269_264_317_304_306_0_365_362_358_380_377_42_47_355_20_23_73_22_329_88,11
153_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,10,153_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,10
176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,10,176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,10
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,13
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,13
390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,10,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,10
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89,13
390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89,14,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89,14
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80_118_124,13,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80_118_124,13
